ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1208	失	失	set3	ʃɛt3	set2	1997年李榮主編《南寧平話詞典》引論P23	忔[ŋet3]～：吝嗇	原文有音無字
1209	攃	攃	ɬet5	ɬɛt5	slet3	1997年李榮主編《南寧平話詞典》引論P23	劃破：手指～喇	原文有音無字
1210	截	截	ɬet2	ɬɛt2	slet6	1997年李榮主編《南寧平話詞典》引論P23	表示很少的量：一～鹽、一～油	原文有音無字
1211	逸	逸	∅iet5	jɛt5	jet3	1997年李榮主編《南寧平話詞典》引論P23	躍：～過牆去、～過溝去	原文有音無字
1212	曳	曳	∅iet3	jɛt3	jet2	1997年李榮主編《南寧平話詞典》引論P23	搖搖～～：搖搖蕩蕩	原文有音無字
1213	橛	橛	kʰet5	kʰɛt5	ket3	1997年李榮主編《南寧平話詞典》引論P23	量詞，節：一～甘蔗	原文有音無字
1214	兀	兀	ŋet5	ŋɛt5	nget3	1997年李榮主編《南寧平話詞典》引論P23	𣩢[leu55]～～，乾而瘦：渠腳肚～冇有肉	原文有音無字
1215	忔	忔	ŋet3	ŋɛt3	nget2	1997年李榮主編《南寧平話詞典》引論P23	～失[set3]：吝嗇	原文有音無字
1216	扤	扤	ŋet23	ŋɛt24	nget5	1997年李榮主編《南寧平話詞典》引論P23	牛～牆：牛用身體摩擦牆壁	原文有音無字
1217	扤	扤	ŋet2	ŋɛt2	nget6	1997年李榮主編《南寧平話詞典》引論P23	捱捱～～：形容行動緩慢，捱時間	原文有音無字
1218	喝	喝	het3	hɛt3	het2	1997年李榮主編《南寧平話詞典》引論P23	嚇唬地叫喊：～兩聲，渠停住喇	原文有音無字
1219	勩	勚	het2	hɛt2	het6	1997年李榮主編《南寧平話詞典》引論P23	磨損：鞋底～啊、磨刀石～喇	原文有音無字
