繁體	簡體	南寧白話	又音	廣州話
旎	旎	ni5		nei5
族	族	zuk6		zuk6
旐	旐	ziu6		siu6
旒	旒	lau4		lau4
旖	旖	ji2		ji2
旗	旗	ki4		kei4
旞	旞	sui6		seoi6
旟	旟	jyu4		jyu4
既	既	gi3		gei3
日	日	jat6		jat6
旦	旦	daan3		1)daan3:元旦 2)daan2:花旦
旨	旨	zi2		zi2
早	早	zu2		zou2
旬	旬	can4	(老派)slyun4,(又)slan4	ceon4
旭	旭	juk1		juk1
旮	旮	kaa3		go1
旯	旯	laa3		lo1
旰	旰	gon3「宵衣旰食」,hon6「皓皓旰旰」		gon3,hon6
旱	旱	hon5		hon5
旴	旴	hyu1		heoi1
旺	旺	wong6		wong6
旻	旻	man4		man4
昀	昀	wan4		wan4
昂	昂	ngong4	(又)ngong5	ngong4
昃	昃	zak1		zak1
昆	昆	kwan1		kwan1；(又)gwan1
昇	升	sing1		sing1
昈	昈	wu6		wu6
昉	昉	fong2		fong2
昊	昊	hu6		hou6
昋	昋	gwai3「姓」		gwai3
昌	昌	coeng1		coeng1
明	明	ming4		ming4
昏	昏	(白)wan1	(文)fan1	fan1
昒	昒	fat1		fat1
易	易	ji6「容易」,jik6「交易」		1)ji6:容易 2)jik6:交易
昔	昔	slik1		sik1
昕	昕	jan1	(又)han1	jan1
星	星	sling1	(白)sleng1	sing1
映	映	jing2		jing2
昡	昡	jyun6		jyun6
昤	昤	ling4		ling4
春	春	can1	(老派)cyun1	ceon1
昧	昧	mui6「昧心」	(又)mi6「昧水，潛水」	mui6
昨	昨	zok6		zok3；(又)zok6
昪	昪	bin6		bin6
昫	昫	hyu2		heoi2
昭	昭	ciu1	(又)ziu1	ciu1
是	是	si6		si6
昱	昱	juk1		juk1
昴	昴	maau5		maau5
昵	昵	nik6	(又)nik1	nik1
昶	昶	cong2		cong2
昺	昺	bing2		bing2
晁	晁	ciu4		ciu4
時	时	si4		si4
晃	晃	fong2		fong2
晉	晋	zan3		zeon3
晊	晊	zat1		zat1
晌	晌	hoeng2		hoeng2
晏	晏	aan3「晚，遲」		aan3
晒	晒	saai3		saai3
晗	晗	ham4		ham4
晙	晙	zan3		zeon3
晚	晚	maan5		maan5
晝	昼	zau3		zau3
晞	晞	hi1		hei1
晡	晡	bu1		bou1
晤	晤	ng6		ng6
晦	晦	fui3	(舊)fui2	fui3
晨	晨	san4		san4
晪	晪	tin2		tin2
晬	晬	zui3		zeoi3
普	普	pu2		pou2
景	景	ging2		ging2
晰	晰	slik1		sik1
晱	晱	sim2		sim2
晴	晴	cing4		cing4
晶	晶	zing1		zing1
晷	晷	gwai2		gwai2
智	智	zi3		zi3
晾	晾	long6		long6
暀	暀	wong5「光；德；是」,wong6「同旺字」		wong5,wong6
暄	暄	hyun1		hyun1
暇	暇	haa6		haa6
暈	晕	wan4「頭暈」,wan1「暈車」,wan6「日暈」		1)wan6:日暈 2)wan4:頭暈
暉	晖	(白)wai1	(文)fai1	fai1
暌	暌	kwai4		kwai4
暐	暐	(書)wai5	(習)wai2	wai5
暑	暑	syu2		syu2
暖	暖	nyun5		nyun5
暗	暗	am3		am3
暘	旸	joeng4		joeng4
暝	暝	ming4		ming4
暢	畅	coeng3		coeng3
暨	暨	gi3	(又)ki3	kei3
暫	暂	zaam6		zaam6
暮	暮	mu6		mou6
暱	暱	nik6	(又)nik1	nik1
暲	暲	zoeng1		zoeng1
暴	暴	bu6		1)bou6:暴動 2)buk6:古同曝
暹	暹	cim3		cim3；(又)cim1
暾	暾	tan1		tan1
曀	曀	ai3		ai3
曄	晔	jip6		jip6
曆	历	lik6		lik6
曇	昙	taam4		taam4
曈	曈	tung4		tung4
曉	晓	hiu2		hiu2
曌	曌	ziu3		ziu3
曏	向	hoeng3		hoeng3
曖	暧	oi3		oi3；(又)oi2
曙	曙	syu5		cyu5；(又)syu5
曚	曚	mung4		mung4
曛	曛	(白)wan1	(文)fan1	fan1
曜	曜	jiu6		jiu6
曝	曝	buk6	(常)bu6	buk6
曠	旷	(書)kwong3	(習)kong3	kwong3；(又)kong3
曦	曦	hi1		hei1
曨	昽	lung4		lung4
曩	曩	nong5		nong5
曬	晒	saai3		saai3
曰	曰	jyut6		joek6；(又)jyut6
曱	曱	gaat6「～甴，蟑螂」		gaat6
曲	曲	kuk1		kuk1
曳	曳	jai6「搖曳」	(語)jai5「淘氣」	jai6
更	更	gaang1「三更」,gang1「更換」,gang3「更加」		1)gang1:更改 2)gaang1:打更 3)gang3:更好
曷	曷	hot3		hot3
書	书	syu1		syu1
曹	曹	cu4		cou4
曼	曼	maan6		maan6
曾	曾	zang1「姓」,cang4「曾經」		1)zang1:曾祖 2)cang4:曾經
替	替	tai3		tai3
最	最	zui3		zeoi3
朁	朁	caam2		caam2
會	会	wui6「開會，會計」,wui5「不會」		1)wui6:會師，會計 2)wui5:學會了；(古)kui2會稽，會計又讀kui2
朆	朆	fan1	(語)mang4「未曾的合音」	fan1
月	月	jyut6		jyut6
有	有	jau5		jau5；(古)同又
朋	朋	pang4		pang4
服	服	fuk6		fuk6
朏	朏	fi2		fei2
朐	朐	kyu4		keoi4
朒	朒	nuk6		nuk6
朔	朔	slok3	(又)sok3	sok3
朕	朕	zam6		zam6
朗	朗	long5		long5
朘	朘	zyun1「減縮；剝削」,zui1「赤子陰」	(又)slyun1「減縮；剝削」,(又)zan1「減縮；剝削」	zyun1,zeoi1
望	望	mong6		mong6
朝	朝	ziu1「朝早」,ciu4「朝代」		1)ziu1:朝夕 2)ciu4:朝代
期	期	ki4「日期」,gi1「期年」		1)kei4:期望 2)gei1:期年
朦	朦	mung4		mung4
朧	胧	lung4		lung4
木	木	muk6		muk6
未	未	mi6		mei6
末	末	mut6		mut6
本	本	bun2		bun2
札	札	zaat3		zaat3
朮	术	sat6	(老派)slyut6,(又)slat6,(又)zat6	seot6
朱	朱	zyu1		zyu1
朳	朳	baat3	(白)bet3	baat3
朴	朴	puk1「朴樹」,piu4「姓」	(又)pok3	pok3；piu4姓朴
朵	朵	do2	(白)doe2	do2；(語)doe2
机	机	gi1		gei1
朽	朽	nau2		nau2
朾	朾	caang4「朾螘」,ting1「虛朾」		caang4,ting1
朿	朿	ci3	(老派)cy3	ci3
杆	杆	gon2		gon1
杈	杈	caa1		caa3
杉	杉	caam3		caam3；(又)saam1
杌	杌	ngat6		ngat6
杍	杍	zi2	(老派)zy2	zi2
李	李	li5		lei5
杏	杏	hang6		hang6
材	材	coi4		coi4
村	村	cyun1		cyun1
杕	杕	dai6		dai6
杖	杖	zoeng6		zoeng6
杜	杜	du6		dou6
杝	杝	ji4「椴木」,li4「同籬字」,zi6「析薪」		ji4,lei4,zi2
杞	杞	gi2		gei2
束	束	cuk1		cuk1
杠	杠	gong3		gong1,gong3
杣	杣	saan1	(又)min4	saan1,min4
杧	杧	mong1		mong1
杪	杪	miu5		miu5
杬	杬	jyun4		jyun4
杭	杭	hong4		hong4
杯	杯	bui1		bui1
杰	杰	git6		git6
東	东	dung1		dung1
杲	杲	gu2		gou2
杳	杳	miu5		miu5；(又)jiu2
杴	杴	hin1		hin1
杵	杵	cyu5		cyu5
杷	杷	paa4		paa4
杼	杼	cyu5		cyu5
松	松	cung4		cung4
板	板	baan2		baan2
极	极	gik6		kap1,gik6
构	构	kau3		kau3
枅	枅	gai1		gai1
枇	枇	pi4		pei4
枉	枉	wong2		wong2
枋	枋	fong1		fong1
枍	枍	jai6		jai6
析	析	slik1		sik1
枒	枒	(習)ngaa1「枒杈，又作椏杈」	(書)ngaa4	ngaa4
枕	枕	(名)zam2「枕頭」,(動)zam3「枕戈待旦」		1)zam2:枕頭 2)zam3:枕著枕頭
林	林	lam4		lam4
枘	枘	jui6		jeoi6
枚	枚	mui4	(又)mui1	mui4
果	果	(書)gwo2	(習)go2	gwo2
枝	枝	zi1		zi1
枟	枟	taan4		taan4
枠	枠	zaap6	(又)cyut3	zaap6,cyut3
枡	枡	sing1		sing1
枯	枯	fu1	(又)ku1	fu1
枰	枰	ping4		ping4
枱	枱	toi4		toi4
枲	枲	slai2		saai2,sai2
枳	枳	zi2	(又)zat1	zi2
枴	拐	gwaai2		gwaai2
枵	枵	hiu1		hiu1
架	架	gaa3	(常)kaa3	gaa3
枷	枷	gaa1		gaa1
枸	枸	gau2		gau2
柃	柃	ling4		ling4
柄	柄	(白)beng3	(文)bing3	beng3
柅	柅	ni5		nei5
柈	柈	pun4「同盤字」,bun6「大塊的劈柴」		pun4,bun6
柌	柌	ci4	(老派)cy4	ci4
柏	柏	paak3	(又)baak3	paak3；(又)baak3
某	某	mau5		mau5
柑	柑	gam1		gam1
柒	柒	cat1		cat1
染	染	jim5		jim5
柔	柔	jau4		jau4
柘	柘	ze3		ze3
柚	柚	(白)jau2	(文)jau6	jau2；(又)jau6；zuk6:杼柚
柜	柜	gwai6「同櫃字」,gyu2「柜柳」		gwai6,geoi2
柝	柝	tok3		tok3
柞	柞	zok6		zok6
柢	柢	dai2		dai2
柤	柤	zaa1「山柤，即山樝」		zaa1
查	查	caa4「調查」,zaa1「姓；同楂字」		caa4；zaa1姓查
柩	柩	gau6		gau6
柬	柬	(白)gen2	(文)gaan2	gaan2
柯	柯	ko1		o1
柰	柰	noi6		noi6
柱	柱	cyu5		cyu5
柳	柳	lau5		lau5
柴	柴	caai4		caai4
柵	栅	saan1「柵極」,caak3「柵欄」		1)caak3:籬笆柵 2)saan1:柵極
柶	柶	si3	(老派)sy3	si3
柺	拐	gwaai2		gwaai2
柾	柾	gau6		gau6
柿	柿	sai6		ci2；(又)ci5
栂	栂	mui4		mui4
栃	栃	lai6		lai6
栓	栓	saan1		saan1
栖	栖	cai1		cai1
栗	栗	lat6	(老派)lyut6	leot6
校	校	haau6「學校」,gaau3「校對，上校」		1)haau6:學校 2)gaau3:校對
栩	栩	hyu2		heoi2
株	株	zyu1		zyu1
栱	栱	gung2		gung2
栲	栲	haau2		haau2
栳	栳	lu5		lou5
栴	栴	zin1		zin1
核	核	hat6「核桃」,wat6「果核」		hat6；(語)wat6果核義
根	根	gan1		gan1
栺	栺	ngai6「枍栺」,zi1「栺栭」,zi2「木名」		ngai6,zi1,zi2
格	格	gaak3		gaak3
栽	栽	zoi1		zoi1
栿	栿	fuk6		fuk6
桀	桀	git6		git6
桁	桁	haang4「古代刑具」,hang4「桁條」,hong4「伸雙臂趕禽畜，桁雞」		haang4,hang4,hong4
桂	桂	gwai3		gwai3
桃	桃	tu4		tou4
桄	桄	(書)gwong1	(習)gong1	gwong1
桅	桅	ngai4		wai4
框	框	kwaang1	(又)kong1	hong1；(又)kwaang1
案	案	on3		on3
桉	桉	on1		on1
桌	桌	zoek3	(又)zok3	coek3；(又)zoek3；同棹zaau6
桎	桎	zat6		zat6
桐	桐	tung4		tung4
桑	桑	slong1		song1
桓	桓	wun4		wun4
桔	桔	gat1		gat1
桕	桕	kau5		kau5
桝	桝	git6		git6
桫	桫	slo1		so1
桮	桮	bui1		bui1
桯	桯	ting1		ting1
桲	桲	but6		but6
桶	桶	tung2		tung2
桷	桷	gok3		gok3
桹	桹	long4		long4
桼	桼	cat1		cat1
桿	杆	gon2		gon2；同杆
梁	梁	loeng4		loeng4
梃	梃	ting5		ting5
梅	梅	mui4		mui4
梆	梆	bong1		bong1
梌	梌	tu4		tou4
梏	梏	guk1		guk1
梐	梐	bai6		bai6
梓	梓	zi2	(老派)zy2	zi2
梔	栀	zi1		zi1
梖	𪱷	bui3		bui3
梗	梗	gang2「桔梗」	(白)kwaang2「菜梗」,(白)gwaang2「菜梗」	gang2
梘	枧	(白)gen2「肥皂」	(文)gaan2	gaan2
條	条	tiu4		tiu4
梟	枭	hiu1		hiu1
梠	梠	lyu5		leoi5
梢	梢	saau1		saau1
梧	梧	ng4		ng4
梨	梨	li4		lei4
梩	梩	li4		lei4
梭	梭	slo1		so1
梯	梯	tai1		tai1
械	械	haai6		haai6
梲	棁	zyut3「梁上的短柱」,tyut3「梲杖」		zyut3,tyut3
梳	梳	so1		so1
梴	梴	cin1		cin1
梵	梵	faan6		faan4；(又)faan6
棁	棁	zyut3「梁上的短柱」,tyut3「棁杖」		zyut3,tyut3
棄	弃	hi3		hei3
棉	棉	min4		min4
棋	棋	ki4		kei4
棌	棌	coi3		coi3
棍	棍	gwan3		gwan3
棐	棐	fi2		fei2
棒	棒	bong6	(又)pong5	paang5
棕	棕	zung1		zung1；同㯶
棖	枨	caang4		caang4
棗	枣	zu2		zou2
棘	棘	gik1		gik1
棚	棚	paang4		paang4
棟	栋	dung6		dung3；(又)dung6
棠	棠	tong4		tong4
棣	棣	dai6		dai6
棧	栈	(白)zaan2「客棧」	(文)zaan6「棧道」	zaan6
棨	棨	kai2		kai2
棪	棪	jim5		jim5
棫	棫	wik6		wik6
棬	棬	hyun1		hyun1
森	森	sam1		sam1
棯	棯	nim1「花/番～，番石榴，又作稔/捻字」	(白)nem1「番～，又作稔/捻字」	nim1
棰	棰	cui4		ceoi4
棱	棱	ling4	(又)lang4,(語)lang5「鞭痕」	ling4
棲	栖	cai1		cai1
棵	棵	ko1	(訓)po1「訓讀爲樖」	fo2
棶	梾	loi4		loi4
棹	棹	zaau6「槳；划船」	(白)zeu6	zaau6
棺	棺	gun1		gun1
棻	棻	fan1		fan1
椅	椅	ji2		ji2；(木名)ji1
椉	椉	sing4「同乘字」,sing6「同乘字」		sing6,sing4
椊	椊	cyut3		cyut3
椋	椋	loeng4		loeng4
植	植	zik6		zik6
椎	椎	zui1「椎骨」,cui4「同槌或捶字」	(白)jui1	1)zeoi1:椎骨 2)ceoi4:鐵椎
椏	桠	(習)ngaa1「椏杈，又作枒杈」	(書)aa1,(白)nge1	aa1
椐	椐	gyu1		geoi1
椒	椒	ziu1		ziu1
椓	椓	doek3	(又)zok3	doek3
椔	椔	zi1	(老派)zy1	zi1
椗	椗	(白)deng3「蒂」	(文)ding3	ding3
椙	椙	coeng1		coeng1
椪	椪	pung3		pung3
椰	椰	je4		je4
椴	椴	dyun6		dyun6
椶	棕	zung1		zung1
椸	椸	ji4		ji4
椹	椹	sam6「同葚字」,zam1「同砧字」		sam6,zam1
椽	椽	cyun4		cyun4
椿	椿	can1	(老派)cyun1	ceon1
楂	楂	zaa1		zaa1
楊	杨	joeng4		joeng4
楒	楒	si1	(老派)sy1	si1
楓	枫	fung1		fung1
楔	楔	slit3		sit3
楗	楗	gin6		gin6
楙	楙	mau6		mau6
楚	楚	co2		co2
楝	楝	lin6	(又)lin1	lin6
楞	楞	ling4	(又)lang4	ling4
楠	楠	naam4		naam4
楣	楣	mi4		mei4
楦	楦	hyun3		hyun3
楨	桢	zing1		zing1
楩	楩	pin4		pin4
楫	楫	zip3		zip3
業	业	nip6		jip6
楯	楯	dan6「同盾字」,syun5「欄杆」		seon5,teon5
極	极	gik6		gik6
楷	楷	gaai1「楷樹」,kaai2「楷書」		1)kaai2:楷書 2)gaai1:楷樹
楸	楸	cau1		cau1
楹	楹	jing4		jing4
概	概	koi3		koi3
榃	榃	dam4		dam4
榅	榅	wan1	(又)wat1	wan1,wat1
榆	榆	jyu4		jyu4
榊	榊	san4		san4
榍	榍	slit3		sit3
榑	榑	fu4		fu4
榔	榔	long4		long4
榕	榕	jung4		jung4
榖	榖	guk1		guk1
榛	榛	zan1		zeon1
榜	榜	bong2		bong2
榤	榤	git6		git6
榥	榥	fong2		fong2
榦	干	gon3「同幹字」		gon3
榧	榧	fi2		fei2
榨	榨	zaa3		zaa3
榫	榫	slan2	(老派)slyun2	seon2
榭	榭	ze6		ze6
榮	荣	(書)wing4	(習)jung4	wing4
榯	榯	si4		si4
榰	榰	zi1		zi1
榲	榅	wan1	(又)wat1	wan1,wat1
榴	榴	lau4		lau4
榷	榷	kok3		kok3
榹	榹	si1	(老派)sy1	si1
榻	榻	taap3		taap3
榾	榾	gwat1		gwat1
槁	槁	gu2		gou2
槃	槃	pun4		pun4
槇	槇	zan1		zan1
槊	槊	slok3	(又)sok3	sok3
構	构	kau3		kau3；(又)gau3
槌	槌	cui4		ceoi4
槍	枪	coeng1		coeng1
槎	槎	caa4		caa4
槐	槐	waai4		waai4
槓	杠	gong3「槓桿」,lung5「衣箱，又作籠字」		1)gong3:木槓 2)gung3:槓杆 3)lung5:樟木槓
槔	槔	gu1		gou1
槙	槙	can2	(又)zan2	can2,zan2
槤	梿	lin4		lin4
槨	椁	(書)kwok3	(習)kok3	gwok3
槱	槱	jau5		jau5
槲	槲	huk6		huk6
槳	桨	zoeng2		zoeng2
槽	槽	cu4		cou4
槿	槿	gan2		gan2
樀	樀	dik1		dik1
樁	桩	zong1		zong1
樂	乐	lok6「快樂」,ngok6「音樂」,ngaau6「仁者樂山」		1)lok6:快樂 2)ngok6:音樂 3)ngaau6:樂群
樅	枞	cung1「冷杉」,zung1「樅陽」		cung1,zung1
樊	樊	faan4		faan4；(又)faan6
樑	梁	loeng4		loeng4
樓	楼	lau4		lau4
樖	樖	(量)po1「棵、株」		po1
樗	樗	syu1		syu1
樘	樘	tong4		tong4
標	标	biu1		biu1
樝	樝	zaa1「山樝，又作山柤」		zaa1
樞	枢	syu1	(又)kyu1	syu1
樟	樟	zoeng1		zoeng1
模	模	mo1		1)mou4:模型 2)mou2:模子
樣	样	joeng6「兩樣」	(白)joeng2「衰樣」	joeng6
樨	樨	slai1		sai1
樫	㭴	gin1		gin1
樴	樴	zik1	(又)dak6	zik1,dak6
樵	樵	ciu4		ciu4
樸	朴	puk1「樸素」,buk6「木名」	(又)pok3	pok3
樹	树	syu6		syu6
樺	桦	waa4		waa4；(又)waa6
樼	樼	zan1		zeon1
樽	樽	zan1	(老派)zyun1	zeon1
樾	樾	jyut6		jyut6
橄	橄	gaam2		gaam3
橇	橇	(白)keu1	(文)kiu1,(又)heu1,(又)hiu1	hiu1；(又)ceoi3
橈	桡	jiu4「船槳」,naau4「曲折，曲木」		naau4,jiu4
橋	桥	kiu4		kiu4
橎	橎	faan2		faan2
橐	橐	tok3		tok3
橕	橕	caang1		caang1
橘	橘	gat1		gwat1
橙	橙	caang2		caang2；本讀caang4
橛	橛	kyut3「木橛」,gyut6「量詞，橛」	(語)ket1「量詞，橛」	kyut3,gyut6
橞	橞	wai6		wai6
機	机	gi1		gei1
橡	橡	zoeng6		zoeng6
橢	椭	to5		to5
橫	横	waang4		waang4
檀	檀	taan4		taan4
檁	檩	lam5		lam5
檄	檄	hat6		hat6
檇	檇	zui3		zeoi3
檉	柽	cing1		cing1
檎	檎	kam4		kam4
檐	檐	jim4	(白)jam4	sim4,jim4
檔	档	dong3「大排檔」,dong2「檔案」		1)dong2:檔案 2)dong3:一檔子事
檗	檗	paak3	(又)baak3	baak3,paak3
檜	桧	kwai3	(又)kui3	kui2
檠	檠	king4		king4
檢	检	gim2		gim2
檣	樯	coeng4		coeng4
檬	檬	mung1	(又)mung2	mung1；本讀mung4
檯	台	toi4		toi4
檳	槟	ban1		ban1
檸	柠	ning4		ning4
檻	槛	kaam5「門檻」,laam6「欄杆；關野獸的柵欄」		laam6
檽	檽	nau6		nau6
檾	苘	gwing2	(又)king2	gwing2
櫂	櫂	zaau6	(白)zeu6	zaau6；通棹
櫃	柜	gwai6		gwai6；(木名)geoi2櫃柳
櫆	櫆	(習)kwai4	(書)fui1	fui1
櫓	橹	lu5		lou5
櫚	榈	lyu5		leoi4
櫛	栉	zit3		zit3
櫜	櫜	gu1		gou1
櫝	椟	duk6		duk6
櫥	橱	cyu4		cyu4；(語)ceoi4
櫧	槠	zyu1		zyu1
櫨	栌	lu4		lou4
櫫	橥	zyu1		zyu1
櫬	榇	can3		can3
櫳	栊	lung4		lung4
櫸	榉	gyu2		geoi2
櫺	櫺	ling4		ling4
櫻	樱	jing1		jing1
櫼	櫼	cim1	(語)zim1「打～，插隊」	cim1,zim1
欄	栏	laan4「圍欄」	(白)laan1「豬欄」	laan4
權	权	kyun4		kyun4
欐	𪲔	lai6		lai6
欑	𪴙	cyun4		cyun4
欒	栾	lyun4		lyun4
欖	榄	(習)laam2	(書)laam5	laam2；(又)laam5
欛	把	baa3「刀～，刀柄」		baa3
欞	棂	ling4		ling4
欠	欠	him3		him3
次	次	ci3	(老派)cy3	ci3
欣	欣	jan1	(舊)ham1,(又)han1	jan1
欬	欬	kat1		kat1
欱	欱	hap6	(語)haap3「大口喝，又作呷字」	hap6
欲	欲	juk6		juk6
欶	欶	sok3「吮吸，又作嗍字」		sok3
欷	欷	hi1		hei1
欸	欸	aai2「欸乃」,oi1「嘆詞」,e6「嘆詞」		aai2,ei3,oi1
欺	欺	hi1		hei1
欼	欼	zyut3		zyut3
欽	钦	ham1	(又)jam1	jam1
款	款	fun2		fun2
欿	欿	ham2		ham2
歅	歅	jan1		jan1
歆	歆	ham1	(又)jam1	jam1
歇	歇	hit3		hit3
歈	歈	jyu4		jyu4
歉	歉	him3		hip3
歌	歌	go1		go1
歎	叹	taan3		taan3
歐	欧	au1		au1
歔	歔	hyu1		heoi1
歕	歕	pan3「同噴字」		pan3
歟	欤	jyu4		jyu4
歠	歠	zyut3「飲、喝；羹湯」		zyut3
歡	欢	fun1		fun1
止	止	zi2		zi2
正	正	zing1「正月」,zing3「正式」	(白)zeng3「正宗，地道，正中」	1)zing3:正中 2)zing1:正月
此	此	ci2	(老派)cy2	ci2
步	步	bu6		bou6
武	武	mu5		mou5
歧	歧	ki4		kei4
歪	歪	waai1	(語)me2	waai1
歭	歭	ci4「歭躇，同踟躕」,zi6「同偫字」		ci4,zi6
歲	岁	slui3		seoi3
歷	历	lik6		lik6
歸	归	gwai1		gwai1
歹	歹	daai2		daai2
死	死	sli2		sei2；(又)si2
歿	殁	mut6		mut6
殂	殂	cu4		cou4
殃	殃	joeng1		joeng1
殄	殄	tin5		tin5
殆	殆	doi6		toi5；(又)doi6
殉	殉	san4	(老派)slyun4,(又)syun4,(又)slan4	seon1
殊	殊	syu4		syu4
殍	殍	piu5		piu5
殕	殕	fu2「食上生白毛」,fau2「物敗也」,ak1「殪殕」,baak6「同踣字」		baak6,fu2,fau2,ak1
殖	殖	zik6		zik6
殘	残	caan4		caan4
殛	殛	gik1		gik1
殞	殒	wan5		wan5
殟	殟	wan1		wan1
殠	殠	cau3		cau3
殤	殇	soeng1		soeng1
殫	殚	daan1		daan1
殭	僵	goeng1	(又)koeng1	goeng1
殮	殓	lim6	(舊)lim2	lim5
殯	殡	ban3	(又)ban1	ban3
殲	歼	cim1		cim1
殳	殳	syu4		syu4
段	段	dyun6		dyun6
殷	殷	jan1		jan1；殷紅又讀jin1
殺	杀	saat3		1)saat3:殺敵 2)saai3:蕭殺
殼	壳	hok3		hok3
殽	殽	ngaau4		ngaau4
殿	殿	din6		din6
毀	毁	wai2		wai2
毃	毃	haau1	(語)kok1「用指節敲」	haau1
毅	毅	ngai6		ngai6
毆	殴	au1		au2
毉	毉	ji1「同醫字」		ji1
毋	毋	mu4		mou4
毌	毌	gun3		gun3
母	母	mu5		mou5
每	每	mui5		mui5
毑	毑	ze2		ze2
毒	毒	duk6		duk6；(古地名)duk1身毒
毓	毓	juk1		juk1
比	比	bi2		1)bei2:比較 2)bei3:比鄰；朋比又讀bei6
毖	毖	bi3		bei3
毗	毗	pi4		pei4
毛	毛	mu4	(語)mu1「發毛，發黴」	mou4
毪	毪	mau4		mau4
毫	毫	hu4		hou4
毯	毯	taan2		taan2；(又)taam2
毽	毽	(習)jin2	(書)gin3	jin2,gin3
氂	牦	mu4	(又)li4	lei4,mou4
氄	氄	jung2		jung2
氅	氅	cong2		cong2
氆	氆	pu2		pou2
氈	毡	zin1		zin1
氊	氊	zin1		zin1
氌	氇	lu5		lou5
氍	氍	kyu4		keoi4
氏	氏	si6「氏族」,zi1「月氏」		si6；(古民族名)zi1月氏
氐	氐	dai1「古民族名；二十八宿之一」,dai2「根本」		dai1；根本義讀dai2
民	民	man4		man4
氓	氓	mong4「流氓」,man4「百姓」		mong4 或 man4；(古)又讀mang4或maang4
气	气	hi3「同氣字」	(語)he3「離le4～，不修邊幅」	hei3
氕	氕	pit3		pit3
氖	氖	naai5		naai5
氘	氘	du1		dou1
氙	氙	slin1		sin1
氚	氚	cyun1		cyun1
氛	氛	fan1		fan1
氟	氟	fat1		fat1
氡	氡	dung1		dung1
氣	气	hi3「空氣」	(語)he3「離le4氣，不修邊幅」	hei3
氤	氤	jan1		jan1
氦	氦	hoi6		hoi6
氧	氧	joeng5		joeng5
氨	氨	on1		on1
氪	氪	hak1		hak1
氫	氢	hing1		hing1
氬	氩	aa3		aa3
氮	氮	daam6		daam6
氯	氯	luk6		luk6
氲	氲	wan1		wan1
氳	氲	wan1		wan1
水	水	sui2		seoi2
永	永	wing5		wing5
氹	氹	tam5「水坑」		tam5
氾	泛	faan3		faan3；(古)faan4如氾勝之
氿	氿	gwai2		gwai2
汀	汀	(白)teng1	(文)ting1	ting1
汁	汁	zap1		zap1
求	求	kau4		kau4
汆	汆	cyun1		mei6,cyun1
汊	汊	caa3		caa3
汎	泛	faan3		faan3
汏	汏	daai6		daai6
汐	汐	zik6		zik6
汕	汕	saan3		saan3
汗	汗	hon6		hon6；(古)hon4可汗
汙	污	wu1		waa1,wu1
汛	汛	slan3	(老派)slyun3	seon3
汜	汜	ci5	(老派)cy5	ci5
汝	汝	jyu5		jyu5
汞	汞	gung3	(又)hung3	hung6；(又)hung3
江	江	gong1		gong1
池	池	ci4		ci4
污	污	wu1		wu1
汥	汥	ki3「水分流」,zi1「水聚積」		kei3,zi1
汦	汦	zi2		zi2
汧	汧	hin1		hin1
汨	汨	mik6		mik6
汪	汪	wong1		wong1
汫	汫	zeng2		zeng2
汭	汭	jui6		jeoi6
汰	汰	taai3		taai3
汲	汲	kap1		kap1
汴	汴	bin6		bin6
汶	汶	man6		man6
決	决	kyut3		kyut3
汽	汽	hi3		hei3
汾	汾	fan4		fan4
沁	沁	sam3		sam3
沂	沂	ji4		ji4
沃	沃	juk1		juk1
沄	沄	wan4		wan4
沅	沅	jyun4		jyun4
沆	沆	hong4		hong4
沇	沇	jin5		jin5
沈	沈	sam2「姓」,cam4「沈沒」		1)cam4:浮沈 2)sam2:姓沈
沉	沉	cam4	(語)zam6「～水，溺水」	cam4,zam6
沊	沊	dam2「落水聲」		dam2
沌	沌	dan6		deon6
沏	沏	cai3「沏茶」,cit3「水聲」		cit3,cai3
沐	沐	muk6		muk6
沒	没	mut6		mut6
沓	沓	daap6		daap6
沔	沔	min5		min5
沕	沕	mat6	(語)mi3「潷」	mat6
沖	冲	cung1		cung1
沘	沘	bi2		bei2
沙	沙	saa1		saa1
沚	沚	zi2		zi2
沛	沛	pui3		pui3
沝	沝	zui2	(又)cui4	zeoi2,ceoi4
沫	沫	mut6		mut6
沬	沬	mui6		mui6
沭	沭	sat6	(老派)slyut6,(又)slat6	seot6
沮	沮	zyu2「沮喪」,zyu1「沮水」,zyu3「沮洳」		zeoi2；(古)zeoi3沮洳；zeoi1沮水
沱	沱	to4		to4
河	河	ho4		ho4
沸	沸	fai3「水滾曰沸」,fat1「滾水也」		fai3
油	油	jau4		jau4
沺	沺	tin4		tin4
治	治	zi6		zi6；(古)ci4治家
沼	沼	ziu2	(常)ziu1	ziu2
沽	沽	gu1		gu1
沾	沾	zim1		zim1
沿	沿	jyun4	(又)jin4	jyun4
況	况	kong3		fong3
泂	泂	gwing2		gwing2
泄	泄	slit3		sit3
泅	泅	cau4		cau4；(又)jau4
泇	泇	gaa1		gaa1
泉	泉	cyun4		cyun4
泊	泊	(書)bok6「飄泊，停泊」	(習)paak3「泊船」	bok6；湖泊又讀baak3
泌	泌	bi3		bei3
泐	泐	lak6		lak6
泓	泓	hung4	(又)wang4	wang4
泔	泔	gam1		gam1
法	法	faat3		faat3
泖	泖	maau5		maau5
