繁體	簡體	南寧白話	又音	廣州話
舵	舵	to5	(白)taai5「又作舦字」,(又)to4,(又)do6	to4
舶	舶	bok6	(又)paak3	bok6；舶來品又讀paak3
舷	舷	jin4		jin4
舸	舸	go2	(又)ho2	go2,ho2
船	船	syun4		syun4
舽	舽	pong4「吳船名」,fung4「船名」	(又)paang4「吳船名」	pong4,fung4
艄	艄	saau1		saau1
艅	艅	jyu4		jyu4
艇	艇	teng5		teng5
艉	艉	mi5		mei5
艋	艋	maang5		maang5
艎	艎	wong4		wong4
艏	艏	sau2		sau2
艔	艔	du6「渡船」		dou6,dou2
艘	艘	sau1	(又)slau2	sau2；本讀sau1
艙	舱	cong1		cong1
艚	艚	cu4		cou4
艤	舣	ngai5		ngai5
艦	舰	laam6		laam6
艨	艨	mung4		mung4
艫	舻	lu4		lou4
艮	艮	gan3		gan3
良	良	loeng4		loeng4
艱	艰	gaan1	(白)gen1	gaan1
色	色	sik1		sik1
艷	艳	(書)jim6	(習)jin3	jim6
艸	艸	cu2「同草字」		cou2
艾	艾	ngaai6	(又)ngoi6	ngaai6
芃	芃	pung4		pung4
芄	芄	jyun4		jyun4
芊	芊	cin1		cin1
芋	芋	wu6		wu6
芍	芍	zoek3	(又)soek6	zoek3
芎	芎	gung1		gung1
芑	芑	hi2		hei2
芒	芒	mong4「芒種」,mong1「芒（杧）果」		1)mong4:光芒 2)mong1:芒（杧）果
芓	芓	zi6「茡本字；隄」,zi2「同耔字」	(老派)zy6,(老派)zy2	zi6,zi2
芙	芙	fu4		fu4
芝	芝	zi1		zi1
芟	芟	saam1		saan1；(又)saam1
芠	芠	man4		man4
芡	芡	him3「芡實」	(語)hin3「勾芡，濃汁，又作𩝡字」	him3,hin3
芣	芣	fau4		fau4
芤	芤	kau1		kau1
芥	芥	gaai3		gaai3
芧	芧	zyu6「古書上指橡實」,cyu5「同苧字」		zeoi6,cyu5
芩	芩	kam4		kam4
芫	芫	(習)jim4「芫茜，芫荽」	(書)jyun4	jyun4
芬	芬	fan1		fan1
芭	芭	baa1		baa1
芮	芮	jui6		jeoi6
芯	芯	slam1		sam1
芰	芰	gi6		gei6
花	花	faa1	(白)waa1	faa1
芳	芳	fong1		fong1
芷	芷	zi2		zi2
芸	芸	wan4		wan4
芹	芹	kan4		kan4
芻	刍	cyu1		co1
芽	芽	ngaa4		ngaa4
苑	苑	jyun2		jyun2
苒	苒	jim5		jim5
苓	苓	ling4		ling4
苔	苔	toi4「青苔」,toi1「舌苔」		1)toi4:青苔 2)toi1:舌苔
苗	苗	miu4		miu4
苘	苘	gwing2	(又)king2	gwing2
苛	苛	ko1	(又)ho1	ho1
苜	苜	muk6		muk6
苞	苞	baau1	(白)beu1	baau1
苟	苟	gau2		gau2
苠	苠	man4		man4
苡	苡	ji5		ji5
苣	苣	gyu6		geoi6
苤	苤	pi2		pei2
若	若	joek6		joek6；(佛經語)般若je5
苦	苦	fu2		fu2
苧	苎	cyu5		cyu5
苯	苯	bun2		bun2
英	英	jing1		jing1
苴	苴	zaa2「土苴；劣質的」,caa4「枯草」,zyu1「苴麻」		zaa2,caa4,zeoi1
苷	苷	gam1		gam1
苹	苹	ping4		ping4
苻	苻	fu4		fu4
茁	茁	zyut3	(又)zaat3	zyut3
茂	茂	mau6		mau6
范	范	faan6「姓」		faan6
茄	茄	ke4「茄子」,gaa1「雪茄」	(白)ke2「茄汁」	1)ke2 2)gaa1:雪茄；番茄(又)ke4
茅	茅	(白)meu4	(文)maau4	maau4
茉	茉	mut6		mut6
茌	茌	ci4		ci4
茖	茖	gaak3		gaak3
茗	茗	ming5		ming5；(又)ming4
茚	茚	jan3		jan3
茛	茛	gan3		gan3
茜	茜	(習)slai1「芫茜」	(書)sin6	sai1,sin6
茠	茠	haau1「同薅字」	(又)hu1,(又)jau1	jau1,hou1
茧	茧	(白)gen2	(文)gaan2	gaan2
茨	茨	ci4	(老派)cy4	ci4
茫	茫	mong4		mong4
茬	茬	caa4「麥茬」,ci4「草盛貌；姓」		caa4,ci4
茭	茭	gaau1		gaau1
茯	茯	fuk6		fuk6
茱	茱	zyu1		zyu1
茲	兹	zi1	(老派)zy1	1)zi1:念茲在茲 2)ci4:龜茲
茳	茳	gong1		gong1
茴	茴	wui4		wui4
茵	茵	jan1		jan1
茶	茶	caa4		caa4
茸	茸	jung4		1)jung4:鹿茸 2)jung5:茸茸的綠草
茹	茹	jyu4		jyu4
茺	茺	cung1		cung1
茻	茻	mong5「草叢」,mu5「宿草」	(又)maang5「草叢」	mong5,mou5
茼	茼	tung4		tung4
荀	荀	slan4	(老派)slyun4	seon1
荁	荁	wun4		wun4
荃	荃	cyun4		cyun4
荄	荄	goi1		goi1
荇	荇	hang6		hang6
草	草	cu2		cou2
荊	荆	ging1		ging1
荎	荎	ci4		ci4
荏	荏	jam5		jam5
荐	荐	zin3		zin3
荒	荒	fong1		fong1
荓	荓	ping4		ping4
荔	荔	lai6		lai6
荖	荖	lu5		lou5
荳	荳	dau6		dau6
荷	荷	ho4「薄荷，荷花」,ho6「荷載」		1)ho4:荷花 2)ho6:負荷
荸	荸	but6		but6
荻	荻	dik6		dik6
荼	荼	tu4		tou4；神荼（門神）讀syu1
荽	荽	(習)slai1「芫荽」	(書)slui1	seoi1
莉	莉	li6		lei6
莊	庄	zong1		zong1
莎	莎	slo1「莎草」,saa1「莎士比亞」		1)so1:莎草 2)saa1:莎士比亞
莒	莒	gyu2		geoi2
莓	莓	mui4		mui4
莖	茎	ging3		hang1；(俗)ging3
莘	莘	slan1		san1
莛	莛	ting4		ting4
莝	莝	co3		co3
莞	莞	gun2「東莞」,wun5「莞爾」		1)gun2:東莞縣 2)wun5:莞爾
莠	莠	jau5		jau5
莢	荚	(白)gep3「豆莢」	(文)gaap3,(語)haap3「菜莢，老菜葉」	gaap3
莧	苋	jin6	(白)hen6	jin6
莨	莨	loeng4「薯莨」,long4「莨菪」		loeng4,long4
莪	莪	ngo4		ngo4
莫	莫	mok6		mok6
莰	莰	ham2		ham2
